1,Политехнический институт,Кафедра прикладной математики,2
2,Политехнический институт,Кафедра автоматики и компьютерных систем,2
3,Политехнический институт,Кафедра экспериментальной физики,2
4,Политехнический институт,Кафедра радиоэлектроники и электроэнергетики,2
5,Политехнический институт,Кафедра информатики и вычислительной техники,2
6,Политехнический институт,Кафедра автоматизированных систем обработки информации и управления,2
7,Политехнический институт,Кафедра строительных технологий и конструкций,2
8,Институт естественных и технических наук,Кафедра химии,2
9,Институт естественных и технических наук,Кафедра безопасности жизнедеятельности,2
10,Институт естественных и технических наук,Кафедра экологии и биофизики,2
11,Институт естественных и технических наук,Кафедра биологии и биотехнологии,2
12,Институт государства и права,Кафедра уголовного права и процесса,2
13,Институт государства и права,Кафедра теории и истории государства и права,2
14,Институт государства и права,Кафедра гражданско-правовых дисциплин и трудового права,2
15,Институт государства и права,Кафедра государственного и муниципального права,2
16,Институт государства и права,Кафедра политологии,2
17,Институт государства и права,Кафедра философии и права,2
18,Институт гуманитарного образования и спорта,Кафедра истории России,2
19,Институт гуманитарного образования и спорта,Кафедра теории физической культуры,2
20,Институт гуманитарного образования и спорта,Кафедра иностранных языков,2
21,Институт гуманитарного образования и спорта,Кафедра лингвистики и переводоведения,2
22,Институт гуманитарного образования и спорта,Кафедра педагогики профессионального и дополнительного образования,2
23,Институт гуманитарного образования и спорта,Кафедра режиссуры,2
24,Институт гуманитарного образования и спорта,Кафедра психологии,2
25,Институт гуманитарного образования и спорта,Кафедра медико-биологических основ физической культуры,2
26,Институт гуманитарного образования и спорта,Кафедра физической культуры,2
27,Институт экономики и управления,Кафедра экономических и учетных дисциплин,2
28,Институт экономики и управления,Кафедра финансов денежного обращения и кредита,2
29,Институт экономики и управления,Кафедра государственного и муниципального управления и управления персоналом,2
30,Институт экономики и управления,Кафедра менеджмента и бизнеса,2
31,Медицинский институт,Кафедра акушерства гинекологии и перинатологии,2
32,Медицинский институт,Кафедра хирургических болезней,2
33,Медицинский институт,Кафедра детских болезней,2
34,Медицинский институт,Кафедра многопрофильной клинической подготовки,2
35,Медицинский институт,Кафедра кардиологии,2
36,Медицинский институт,Кафедра морфологии и физиологии,2
37,Медицинский институт,Кафедра патофизиологии и общей патологии,2
38,Медицинский институт,Кафедра внутренних болезней,2
39,Медицинский колледж,Медицинский колледж,2
